series,year,period,value,low,high,unit,geo,publisher,source_url,locator,notes
yt_ad_revenue,2020,Q1,4.038,,,usd_billions,global,Alphabet Inc. (Form 10-Q),https://www.sec.gov/Archives/edgar/data/1652044/000165204421000020/goog-20210331.htm,"Three months ended, row ""YouTube ads"": 4,038 (USD millions)",Primary SEC filing (some quarters taken from prior-year comparative column)
yt_ad_revenue,2020,Q2,3.812,,,usd_billions,global,Alphabet Inc. (Form 10-Q),https://www.sec.gov/Archives/edgar/data/1652044/000165204421000047/goog-20210630.htm,"Three months ended, row ""YouTube ads"": 3,812 (USD millions)",Primary SEC filing (some quarters taken from prior-year comparative column)
yt_ad_revenue,2020,Q3,5.037,,,usd_billions,global,Alphabet Inc. (Form 10-Q),https://www.sec.gov/Archives/edgar/data/1652044/000165204420000050/goog-20200930.htm,"Three months ended, row ""YouTube ads"": 5,037 (USD millions)",Primary SEC filing (some quarters taken from prior-year comparative column)
yt_ad_revenue,2021,Q1,6.005,,,usd_billions,global,Alphabet Inc. (Form 10-Q),https://www.sec.gov/Archives/edgar/data/1652044/000165204421000020/goog-20210331.htm,"Three months ended, row ""YouTube ads"": 6,005 (USD millions)",Primary SEC filing (some quarters taken from prior-year comparative column)
yt_ad_revenue,2021,Q2,7.002,,,usd_billions,global,Alphabet Inc. (Form 10-Q),https://www.sec.gov/Archives/edgar/data/1652044/000165204421000047/goog-20210630.htm,"Three months ended, row ""YouTube ads"": 7,002 (USD millions)",Primary SEC filing (some quarters taken from prior-year comparative column)
yt_ad_revenue,2021,Q3,7.205,,,usd_billions,global,Alphabet Inc. (Form 10-Q),https://www.sec.gov/Archives/edgar/data/1652044/000165204421000057/goog-20210930.htm,"Three months ended, row ""YouTube ads"": 7,205 (USD millions)",Primary SEC filing (some quarters taken from prior-year comparative column)
yt_ad_revenue,2022,Q1,6.869,,,usd_billions,global,Alphabet Inc. (Form 10-Q),https://www.sec.gov/Archives/edgar/data/1652044/000165204422000029/goog-20220331.htm,"Three months ended, row ""YouTube ads"": 6,869 (USD millions)",Primary SEC filing (some quarters taken from prior-year comparative column)
yt_ad_revenue,2022,Q2,7.34,,,usd_billions,global,Alphabet Inc. (Form 10-Q),https://www.sec.gov/Archives/edgar/data/1652044/000165204422000071/goog-20220630.htm,"Three months ended, row ""YouTube ads"": 7,340 (USD millions)",Primary SEC filing (some quarters taken from prior-year comparative column)
yt_ad_revenue,2022,Q3,7.071,,,usd_billions,global,Alphabet Inc. (Form 10-Q),https://www.sec.gov/Archives/edgar/data/1652044/000165204422000090/goog-20220930.htm,"Three months ended, row ""YouTube ads"": 7,071 (USD millions)",Primary SEC filing (some quarters taken from prior-year comparative column)
yt_ad_revenue,2023,Q1,6.693,,,usd_billions,global,Alphabet Inc. (Form 10-Q),https://www.sec.gov/Archives/edgar/data/1652044/000165204423000045/goog-20230331.htm,"Three months ended, row ""YouTube ads"": 6,693 (USD millions)",Primary SEC filing (some quarters taken from prior-year comparative column)
yt_ad_revenue,2023,Q2,7.665,,,usd_billions,global,Alphabet Inc. (Form 10-Q),https://www.sec.gov/Archives/edgar/data/1652044/000165204423000070/goog-20230630.htm,"Three months ended, row ""YouTube ads"": 7,665 (USD millions)",Primary SEC filing (some quarters taken from prior-year comparative column)
yt_ad_revenue,2023,Q3,7.952,,,usd_billions,global,Alphabet Inc. (Form 10-Q),https://www.sec.gov/Archives/edgar/data/1652044/000165204423000094/goog-20230930.htm,"Three months ended, row ""YouTube ads"": 7,952 (USD millions)",Primary SEC filing (some quarters taken from prior-year comparative column)
yt_ad_revenue,2024,Q1,8.09,,,usd_billions,global,Alphabet Inc. (Form 10-Q),https://www.sec.gov/Archives/edgar/data/1652044/000165204424000053/goog-20240331.htm,"Three months ended, row ""YouTube ads"": 8,090 (USD millions)",Primary SEC filing (some quarters taken from prior-year comparative column)
yt_ad_revenue,2024,Q2,8.663,,,usd_billions,global,Alphabet Inc. (Form 10-Q),https://www.sec.gov/Archives/edgar/data/1652044/000165204424000079/goog-20240630.htm,"Three months ended, row ""YouTube ads"": 8,663 (USD millions)",Primary SEC filing (some quarters taken from prior-year comparative column)
yt_ad_revenue,2024,Q3,8.921,,,usd_billions,global,Alphabet Inc. (Form 10-Q),https://www.sec.gov/Archives/edgar/data/1652044/000165204424000118/goog-20240930.htm,"Three months ended, row ""YouTube ads"": 8,921 (USD millions)",Primary SEC filing (some quarters taken from prior-year comparative column)
yt_ad_revenue,2025,Q1,8.927,,,usd_billions,global,Alphabet Inc. (Form 10-Q),https://www.sec.gov/Archives/edgar/data/1652044/000165204425000043/goog-20250331.htm,"Three months ended, row ""YouTube ads"": 8,927 (USD millions)",Primary SEC filing (some quarters taken from prior-year comparative column)
yt_ad_revenue,2025,Q2,9.796,,,usd_billions,global,Alphabet Inc. (Form 10-Q),https://www.sec.gov/Archives/edgar/data/1652044/000165204425000062/goog-20250630.htm,"Three months ended, row ""YouTube ads"": 9,796 (USD millions)",Primary SEC filing (some quarters taken from prior-year comparative column)
yt_ad_revenue,2025,Q3,10.261,,,usd_billions,global,Alphabet Inc. (Form 10-Q),https://www.sec.gov/Archives/edgar/data/1652044/000165204425000091/goog-20250930.htm,"Three months ended, row ""YouTube ads"": 10,261 (USD millions)",Primary SEC filing (some quarters taken from prior-year comparative column)
yt_ad_revenue,2026,Q1,9.883,,,usd_billions,global,Alphabet Inc. (Form 10-Q),https://www.sec.gov/Archives/edgar/data/1652044/000165204426000048/goog-20260331.htm,"Three months ended, row ""YouTube ads"": 9,883 (USD millions)",Primary SEC filing (some quarters taken from prior-year comparative column)
yt_ad_revenue,2026,Q2,11.055,,,usd_billions,global,Alphabet Inc. (Form 10-Q),https://www.sec.gov/Archives/edgar/data/1652044/000165204426000071/goog-20260630.htm,"Three months ended, row ""YouTube ads"": 11,055 (USD millions)",Primary SEC filing (some quarters taken from prior-year comparative column)
yt_ad_revenue,2023,Q4,9.2,,,usd_billions,global,Alphabet Inc. (8-K Ex.99.1 Q4 2024 release),https://www.sec.gov/Archives/edgar/data/1652044/000165204425000010/googexhibit991q42024.htm,"Row ""YouTube ads"", Q4 2023 column: $9,200 (USD millions)",Stated in earnings release
yt_ad_revenue,2024,Q4,10.473,,,usd_billions,global,Alphabet Inc. (8-K Ex.99.1 Q4 2025 release),https://www.sec.gov/Archives/edgar/data/1652044/000165204426000012/googexhibit991q42025.htm,"Row ""YouTube ads"", Q4 2024 column: $10,473 (USD millions)",Stated in earnings release
yt_ad_revenue,2025,Q4,11.383,,,usd_billions,global,Alphabet Inc. (8-K Ex.99.1 Q4 2025 release),https://www.sec.gov/Archives/edgar/data/1652044/000165204426000012/googexhibit991q42025.htm,"Row ""YouTube ads"", Q4 2025 column: $11,383 (USD millions)",Stated in earnings release
yt_ad_revenue,2018,Q4,3.605,,,usd_billions,global,Alphabet Inc. (8-K Ex.99.1 Q4 release),https://www.sec.gov/Archives/edgar/data/1652044/000165204420000004/googexhibit991q42019.htm,"Row ""YouTube ads"", three months ended Dec 31 2018: 3,605 (USD millions)",Stated in earnings release
yt_ad_revenue,2019,Q4,4.717,,,usd_billions,global,Alphabet Inc. (8-K Ex.99.1 Q4 release),https://www.sec.gov/Archives/edgar/data/1652044/000165204420000004/googexhibit991q42019.htm,"Row ""YouTube ads"", three months ended Dec 31 2019: 4,717 (USD millions)",Stated in earnings release
yt_ad_revenue,2020,Q4,6.885,,,usd_billions,global,Alphabet Inc. (8-K Ex.99.1 Q4 release),https://www.sec.gov/Archives/edgar/data/1652044/000165204421000006/googexhibit991q420.htm,"Row ""YouTube ads"", three months ended Dec 31 2020: 6,885 (USD millions)",Stated in earnings release
yt_ad_revenue,2021,Q4,8.633,,,usd_billions,global,Alphabet Inc. (8-K Ex.99.1 Q4 release),https://www.sec.gov/Archives/edgar/data/1652044/000165204422000015/googexhibit991q42021.htm,"Row ""YouTube ads"", three months ended Dec 31 2021: 8,633 (USD millions)",Stated in earnings release
yt_ad_revenue,2022,Q4,7.963,,,usd_billions,global,Alphabet Inc. (8-K Ex.99.1 Q4 release),https://www.sec.gov/Archives/edgar/data/1652044/000165204423000013/googexhibit991q42022.htm,"Row ""YouTube ads"", three months ended Dec 31 2022: 7,963 (USD millions)",Stated in earnings release
yt_ad_revenue,2019,Q1,3.025,,,usd_billions,global,Alphabet Inc. (Form 10-Q),https://www.sec.gov/Archives/edgar/data/1652044/000165204420000021/goog-20200331.htm,"Prior-year three-months column, row ""YouTube ads"": 3,025 (USD millions)",Primary SEC filing
yt_ad_revenue,2019,Q2,3.603,,,usd_billions,global,Alphabet Inc. (Form 10-Q),https://www.sec.gov/Archives/edgar/data/1652044/000165204420000032/goog-20200630.htm,"Prior-year three-months column, row ""YouTube ads"": 3,603 (USD millions)",Primary SEC filing
yt_creator_payout_cumulative,2020,2021-01-26,30.0,,,usd_billions,global,YouTube Blog (Susan Wojcicki 2021 letter),https://blog.youtube/inside-youtube/letter-from-susan-our-2021-priorities/,"we've paid more than $30 billion to creators, artists, and media companies","Lower bound (""more than""); trailing 3 years ~2018-2020; includes artists and media companies, not just YPP creators"
yt_creator_payout_cumulative,2021,2021-10-06,30.0,,,usd_billions,global,YouTube Blog,https://blog.youtube/inside-youtube/youtubes-creative-economy-small-businesses-big-impact/,"Over the last three years, we've paid more than $30 billion",Repeats Jan-2021 figure; lower bound
yt_creator_payout_cumulative,2023,2024-02-06,70.0,,,usd_billions,global,YouTube Blog (Neal Mohan 2024 letter),https://blog.youtube/inside-youtube/2024-letter-from-neal/,"we paid over $70 billion to creators, artists, and media companies",Lower bound; period 2021-2023 per YouTube 2024 US Impact Report
yt_creator_payout_cumulative,2023,2024,70.0,,,usd_billions,global,YouTube Blog (2024 US Impact Report),https://blog.youtube/news-and-events/2024-us-youtube-impact-report/,"Between 2021 and 2023, YouTube paid more than $70 billion",Explicit period 2021-2023
yt_creator_payout_cumulative,2024,2025-09-16,100.0,,,usd_billions,global,YouTube Blog (Made on YouTube 2025),https://blog.youtube/news-and-events/made-on-youtube-2025/,"over $100 billion to creators, artists, and media companies... last four years","Lower bound; CNBC reports period as since 2021 (2021-2024); implies ~>$30B in the 4th year vs 3-yr $70B (inference, not stated)"
yt_creator_payout_cumulative,2025,2026-01-21,100.0,,,usd_billions,global,YouTube Blog (Neal Mohan 2026 letter),https://blog.youtube/inside-youtube/the-future-of-youtube-2026/,"In the past four years alone, we've paid over $100 billion","Lower bound; same headline number as Sep-2025, window ambiguous (possibly 2022-2025)"
yt_creator_payout_cumulative,2026,2026-08-10,100.0,,,usd_billions,global,YouTube Blog (YPP 2027 changes),https://blog.youtube/news-and-events/youtube-partner-program-updates-2027-new-opportunities-earn/,paid creators over $100 billion in the last four years,Per search-result summary of post; post also says YouTube expects to pay more in 2027 than 2026
ypp_channels,2021,2021-10-06,2000000.0,,,count,global,YouTube Blog,https://blog.youtube/inside-youtube/youtubes-creative-economy-small-businesses-big-impact/,there are more than 2 million creators around the world in YPP,Lower bound; primary
ypp_channels,2024,2024-02-06,3000000.0,,,count,global,YouTube Blog (Neal Mohan 2024 letter),https://blog.youtube/inside-youtube/2024-letter-from-neal/,Today more than 3 million channels are in the YouTube Partner Program,Lower bound; YPP includes the expanded (lower) tier launched June 2023
ypp_channels,2026,2026-08-10,3000000.0,,,count,global,YouTube Blog (YPP 2027 changes),https://blog.youtube/news-and-events/youtube-partner-program-updates-2027-new-opportunities-earn/,With over 3 million creators in the program,Lower bound; no update in headline count since Feb 2024
ypp_channels,2020,2021-01-26,,,,text,global,YouTube Blog (Susan Wojcicki 2021 letter),https://blog.youtube/inside-youtube/letter-from-susan-our-2021-priorities/,number of new channels joining YPP more than doubled,Qualitative: new YPP joiners in 2020 >2x 2019; no count given
channels_1m_subs,2018,2019-02-05,,,,text,global,"YouTube Blog (Wojcicki, YouTube in 2019)",https://blog.youtube/inside-youtube/youtube-in-2019-looking-back-and-moving/,channels with over one million subscribers nearly doubled in the last year,Qualitative YoY growth ~+100% during 2018; no level given
channels_1m_subs,2019,2019-11-21,65.0,,,percent_yoy,global,YouTube Blog (Wojcicki final 2019 letter),https://blog.youtube/inside-youtube/my-final-letter-in-2019/,number of creators with a million or more subscribers has grown 65 percent,"YoY growth vs 2018, not a level"
upload_hours_per_min,2025,2025-04-23,20000000.0,,,videos_per_day,global,YouTube Blog (20th anniversary),https://blog.youtube/news-and-events/happy-birthday-youtube-20/,"on average, there are over 20 million videos uploaded daily","Different unit (videos/day, incl. Shorts) - not comparable to hours/min; >20B videos uploaded all-time"
shorts_daily_views,2023,2023-03-01,50.0,,,billions_per_day,global,YouTube Blog (Neal Mohan 2023 letter),https://blog.youtube/inside-youtube/2023-letter-from-neal/,Shorts is now averaging over 50 billion daily views,"Lower bound; 200B first stated at Cannes Lions June 2025; view definition changed Mar 2025 (Shorts views count on play/replay), inflating post-2025 comparisons"
shorts_daily_views,2024,2024-02-06,70.0,,,billions_per_day,global,YouTube Blog (Neal Mohan 2024 letter),https://blog.youtube/inside-youtube/2024-letter-from-neal/,Shorts is averaging over 70 billion daily views,"Lower bound; 200B first stated at Cannes Lions June 2025; view definition changed Mar 2025 (Shorts views count on play/replay), inflating post-2025 comparisons"
shorts_daily_views,2025,2025-07-23,200.0,,,billions_per_day,global,"Alphabet Q2-2025 earnings call, Pichai (blog.google)",https://blog.google/company-news/inside-google/message-ceo/alphabet-earnings-q2-2025/,We now average over 200 billion daily views on YouTube Shorts,"Lower bound; 200B first stated at Cannes Lions June 2025; view definition changed Mar 2025 (Shorts views count on play/replay), inflating post-2025 comparisons"
shorts_daily_views,2026,2026-01-21,200.0,,,billions_per_day,global,YouTube Blog (Neal Mohan 2026 letter),https://blog.youtube/inside-youtube/the-future-of-youtube-2026/,Shorts now averages 200 billion daily views,"Lower bound; 200B first stated at Cannes Lions June 2025; view definition changed Mar 2025 (Shorts views count on play/replay), inflating post-2025 comparisons"
shorts_daily_views,2026,2026-08-10,200.0,,,billions_per_day,global,YouTube Blog (YPP 2027 changes),https://blog.youtube/news-and-events/youtube-partner-program-updates-2027-new-opportunities-earn/,now sees over 200 billion daily Shorts views,"Lower bound; 200B first stated at Cannes Lions June 2025; view definition changed Mar 2025 (Shorts views count on play/replay), inflating post-2025 comparisons"
shorts_daily_views,2023,2023-03-01,80.0,,,percent_yoy,global,YouTube Blog (Neal Mohan 2023 letter),https://blog.youtube/inside-youtube/2023-letter-from-neal/,Daily uploads to Shorts increased over 80% year-over-year,"SUPPLY signal (uploads, not views) - kept here to stay within series list"
shorts_daily_views,2024,2024-02-06,50.0,,,percent_yoy,global,YouTube Blog (Neal Mohan 2024 letter),https://blog.youtube/inside-youtube/2024-letter-from-neal/,number of channels uploading Shorts has grown 50% year over year,"SUPPLY signal (channels uploading Shorts), not views"
ypp_threshold,2018,2018-01-16,,,,text,global,YouTube Blog,https://blog.youtube/news-and-events/additional-changes-to-youtube-partner/,"4,000 hours of watchtime within the past 12 months and 1,000 subscribers","1,000 subs AND 4,000 public watch hours in 12 months; effective for existing channels Feb 20 2018"
ypp_threshold,2023,2023-02-01,,,,text,global,YouTube Help,https://support.google.com/youtube/answer/12843009?hl=en,"[full YPP] 1,000 subscribers... 10M valid public Shorts views in 90 days",Alternative Shorts path into full YPP with ad revenue sharing on Shorts (Shorts rev-share launched Feb 1 2023)
ypp_threshold,2023,2023-06-13,,,,text,US/UK/CA/TW/KR initially,YouTube Help,https://support.google.com/youtube/answer/12843009?hl=en,"500 subscribers and either 3,000 qualified watch hours... or 3M... Shorts views","Expanded (lower) YPP tier: fan funding/shopping, no ad rev share; also 3 public uploads in 90 days"
ypp_threshold,2027,2027-02-01,,,,text,global,YouTube Blog (announced 2026-08-10),https://blog.youtube/news-and-events/youtube-partner-program-updates-2027-new-opportunities-earn/,"8,000 qualified watch hours in the last 365 days... or 20 million qualified Shorts views","Raised entry bar for new applicants (from 4,000 h / 10M Shorts views); 10M Shorts views/90d for Shorts rev share; subscriber rule not mentioned in fetched text"
impressions_ctr,,current,,2.0,10.0,percent,global,YouTube Help (Impressions & CTR FAQ),https://support.google.com/youtube/answer/7628154?hl=en,Half of all channels and videos... impressions CTR... between 2% and 10%,Interquartile-ish band (middle 50%); undated evergreen statement
q4_cpm_uplift,,qualitative,,,,text,global,Alphabet Inc. (Form 10-K FY2025),https://www.sec.gov/Archives/edgar/data/1652044/000165204426000018/goog-20251231.htm,fluctuate... including the cyclical nature and seasonality in our business,Qualitative only; use yt_ad_revenue quarterly rows (Q4 vs Q1) for Alphabet-side seasonality
